retrieved,url,volume,format,date1,date2,reo,ambiguous,other,percent,incomplete
2018-01-17 17:14:17.921929,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=47;num=1,A,OCR,"Wednesday, 24th May, 1854.",1854-5-24,0,82,824,0,
2018-01-17 17:14:20.275389,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=48;num=2,A,OCR,"Friday, 26th May, 1854.",1854-5-26,6,448,4199,0.14,
2018-01-17 17:14:31.339906,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=53;num=7,A,OCR,"Saturday, 27th May, 1854.",1854-5-27,7,744,8658,0.08,
2018-01-17 17:15:14.841370,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=64;num=18,A,OCR,"Monday, 29th May, 1854.",1854-5-29,0,38,402,0,
2018-01-17 17:15:14.841370,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=64;num=18,A,OCR,"Thursday, 1st June, 18S4.",1854-6-1,3,766,7360,0.04,
2018-01-17 17:15:31.836118,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=73;num=27,A,OCR,"Friday, 2nd June, 1854,",1854-6-2,16,1817,17136,0.09,
2018-01-17 17:16:40.500053,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=91;num=45,A,OCR,"Saturday, 3rd June, 1854.",1854-6-3,9,1348,13198,0.07,
2018-01-17 17:17:12.799849,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=105;num=59,A,OCR,"Monday, 5th June, 1854.",1854-6-5,21,905,8656,0.24,
2018-01-17 17:17:35.749047,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=115;num=69,A,OCR,"Tuesday, 6th June, 1854.",1854-6-6,8,1051,10599,0.08,
2018-01-17 17:18:29.417329,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=127;num=81,A,OCR,"Thursday, 8th June, 1854.",1854-6-8,0,28,215,0,
2018-01-17 17:18:29.417329,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=127;num=81,A,OCR,"Thursday, 15th June, 1854.",1854-6-15,9,1339,12491,0.07,
2018-01-17 17:19:13.578516,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=140;num=94,A,OCR,"Friday, 16th June, 1854.",1854-6-16,0,182,1582,0,
2018-01-17 17:19:17.874940,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=142;num=96,A,OCR,"Tuesday, 20th June, 1851.",1854-6-20,18,2169,18435,0.1,
2018-01-17 17:20:17.845122,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=164;num=118,A,OCR,"Thursday, 22nd June, 1854.",1854-6-22,2,293,3388,0.06,
2018-01-17 17:20:31.469613,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=168;num=122,A,OCR,"Friday, 23rd June, 1854.",1854-6-23,5,319,3015,0.17,
2018-01-17 17:20:37.584823,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=171;num=125,A,OCR,"Monday, 26th June, 1854.",1854-6-26,0,220,1955,0,
2018-01-17 17:20:44.514417,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=174;num=128,A,OCR,"Tuesday, 27th Jutie, 1854.",1854-6-27,9,1065,10099,0.09,
2018-01-17 17:21:38.895975,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=185;num=139,A,OCR,"Wednesday, 28th June, 1854.",1854-6-28,0,25,298,0,
2018-01-17 17:21:40.756899,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=186;num=140,A,OCR,"Thursday, 29th June, 1854.",1854-6-29,25,2353,23232,0.11,
2018-01-17 17:22:35.757606,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=211;num=165,A,OCR,"Friday, 30th June, 1854.",1854-6-30,13,1058,10251,0.13,
2018-01-17 17:22:58.051966,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=222;num=176,A,OCR,"Monday, 3rd July, 1854.",1854-7-3,1,199,1900,0.05,
2018-01-17 17:23:02.406245,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=224;num=178,A,OCR,"Tuesday, 4th July, 1854.",1854-7-4,1,31,462,0.22,
2018-01-17 17:23:04.286383,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=225;num=179,A,OCR,"Wednesday, 5th July, 1854.",1854-7-5,3,205,1826,0.16,
2018-01-17 17:23:08.420231,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=227;num=181,A,OCR,"Thursday, 6th July, 1854.",1854-7-6,1,27,329,0.3,
2018-01-17 17:23:10.282432,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=228;num=182,A,OCR,"Friday, 7th July, 1854.",1854-7-7,19,673,5316,0.36,
2018-01-17 17:23:34.163335,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=234;num=188,A,OCR,"Tuesday, llth July, 1854.",1854-7-10,51,3283,28392,0.18,
2018-01-17 17:24:48.197017,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=265;num=219,A,OCR,"Thursday, 13th July, 1854.",1854-7-13,10,388,3650,0.27,
2018-01-17 17:25:33.476975,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=270;num=224,A,OCR,"Friday, 14th July, 1854.",1854-7-14,7,369,4129,0.17,
2018-01-17 17:25:41.887938,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=274;num=228,A,OCR,"Monday, 17th July, 1854.",1854-7-17,0,55,536,0,
2018-01-17 17:25:43.746449,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=275;num=229,A,OCR,"Tuesday, 18th July, 1854.",1854-7-18,3,476,5850,0.05,
2018-01-17 17:25:57.591422,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=282;num=236,A,OCR,"Wednesday, 19th July, 1854.",1854-7-19,0,106,967,0,
2018-01-17 17:26:01.515822,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=284;num=238,A,OCR,"Thursday, 20th July, 1854.",1854-7-20,1,98,1437,0.07,
2018-01-17 17:26:06.124222,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=286;num=240,A,OCR,"Friday, 21st July, 1854.",1854-7-21,0,39,423,0,
2018-01-17 17:26:09.036132,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=287;num=241,A,OCR,"Monday, 24th July, 1854.",1854-7-24,2,425,3990,0.05,
2018-01-17 17:26:21.007938,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=292;num=246,A,OCR,"Tuesday, 25th July, 1854.",1854-7-25,3,147,1628,0.18,
2018-01-17 17:26:28.980657,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=295;num=249,A,OCR,"Thursday, 27th July, 1854.",1854-7-27,0,72,801,0,
2018-01-17 17:26:31.235290,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=296;num=250,A,OCR,"Monday, 31st July, 1854.",1854-7-31,0,15,236,0,
2018-01-17 17:26:33.073947,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=297;num=251,A,OCR,"Tuesday, 1st August, 1854.",1854-8-1,0,20,426,0,
2018-01-17 17:26:34.945518,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=298;num=252,A,OCR,"Wednesday, 2nd August, 1854.",1854-8-2,0,15,124,0,
2018-01-17 17:26:34.945518,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=298;num=252,A,OCR,"Thursday, 3rd August, 1854.",1854-8-3,10,1479,13322,0.08,
2018-01-17 17:27:38.148630,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=313;num=267,A,OCR,"Friday, 4th August, 1854.",1854-8-4,1,67,719,0.14,
2018-01-17 17:27:40.079062,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=314;num=268,A,OCR,"Saturday, 5th August, 1854.",1854-8-5,7,1272,11487,0.06,
2018-01-17 17:28:10.115730,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=328;num=282,A,OCR,"Tuesday, 8th August, 1854.",1854-8-8,0,35,360,0,
2018-01-17 17:28:11.933986,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=329;num=283,A,OCR,"Wednesday, 9th Attgust, 1854.",1854-8-9,14,698,6200,0.23,
2018-01-17 17:28:25.113550,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=336;num=290,A,OCR,"Thursday, 10th Augiist, 1854.",1854-8-10,4,671,6195,0.06,
2018-01-17 17:28:40.110707,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=343;num=297,A,OCR,"Monday, 14th August, 1854.",1854-8-14,0,12,181,0,
2018-01-17 17:28:40.110707,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=343;num=297,A,OCR,"Tuesday, 15th August, 1854.",1854-8-15,28,3335,33480,0.08,
2018-01-17 17:30:45.131485,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=380;num=334,A,OCR,"Thursday, 17th August, 1854.",1854-8-17,5,509,5103,0.1,
2018-01-17 17:31:07.567660,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=391;num=345,A,OCR,"Thursday, 31st August, 1854.",1854-8-31,2,263,2880,0.07,
2018-01-17 17:31:14.213297,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=394;num=348,A,OCR,"Friday, 1st September, 1854.",1854-9-1,18,1165,10922,0.16,
2018-01-17 17:31:58.386015,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=408;num=362,A,OCR,"Monday, 4th September, 1854.",1854-9-4,3,574,6957,0.04,
2018-01-17 17:32:16.619270,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=417;num=371,A,OCR,"Tuesday, 5th September, 1354.",1854-9-5,4,691,7325,0.05,
2018-01-17 17:32:38.199730,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=427;num=381,A,OCR,"Thursday, 7th September, 1854.",1854-9-7,1,150,1766,0.06,
2018-01-17 17:32:44.652173,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=430;num=384,A,OCR,"Friday, 8th September, 1854.",1854-9-8,19,1136,11548,0.16,
2018-01-17 17:33:14.185376,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=444;num=398,A,OCR,"Saturday, 9th September, 1854.",1854-9-9,17,1308,12685,0.13,
2018-01-17 17:34:09.388161,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=461;num=415,A,OCR,"Tuesday, 12th September, 1854.",1854-9-12,4,336,3077,0.13,
2018-01-17 17:34:19.566576,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=466;num=420,A,OCR,"Wednesday, 13th September, 1851.",1854-9-13,14,503,5266,0.27,
2018-01-17 17:34:35.882882,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=474;num=428,A,OCR,"Thursday, 14th September, 1854.",1854-9-14,9,440,5153,0.17,
2018-01-17 17:35:08.709390,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=482;num=436,A,OCR,"Friday, 15th September, 1854.",1854-9-15,15,1283,14305,0.1,
2018-01-17 17:36:13.590365,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=499;num=453,A,OCR,"Saturday, 16th September, 1854.",1854-9-16,2,347,3382,0.06,
2018-01-17 17:36:41.212567,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=507;num=461,A,OCR,"Wednesday, 8th August, 1855.",1855-8-8,11,495,4574,0.24,
2018-01-17 17:36:52.194496,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=512;num=466,A,OCR,"Thursday, 9th August, 1855.",1855-8-9,2,46,524,0.38,
2018-01-17 17:36:54.480997,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=513;num=467,A,OCR,"Friday, 10th August, 1855.",1855-8-10,62,834,8299,0.74,
2018-01-17 17:37:17.361825,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=523;num=477,A,OCR,"Tuesday, 14th August, 1855. .",1855-8-14,8,926,8984,0.09,
2018-01-17 17:37:37.384002,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=533;num=487,A,OCR,"Wednesday, 15th August, 18G5.",1855-8-15,0,37,424,0,
2018-01-17 17:37:39.893163,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=534;num=488,A,OCR,"Friday, 17th August, 1855.",1855-8-17,0,144,1961,0,
2018-01-17 17:37:49.361651,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=536;num=490,A,OCR,"Tuesday, 21st August, 1855.",1855-8-21,8,683,6544,0.12,
2018-01-17 17:38:04.505760,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=544;num=498,A,OCR,"Wednesday, 23nd August, 1855.",1855-8-23,1,169,1494,0.07,
2018-01-17 17:38:08.283395,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=546;num=500,A,OCR,"Friday, 24th August, 1855.",1855-8-24,7,332,3456,0.2,
2018-01-17 17:38:21.992493,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=550;num=504,A,OCR,"Tuesday, 28th August, 1855.",1855-8-28,48,774,8103,0.59,
2018-01-17 17:38:52.354417,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=559;num=513,A,OCR,"Wednesday, 29th August, 18S5.",1855-8-29,1,145,1733,0.06,
2018-01-17 17:38:55.964811,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=561;num=515,A,OCR,"Tlmrsday, 30th August, 1855.",1855-8-30,5,221,2122,0.24,
2018-01-17 17:39:03.395645,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=565;num=519,A,OCR,"Friday, 31st August, 1855.",1855-8-31,0,82,959,0,
2018-01-17 17:39:07.395388,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=567;num=521,A,OCR,"Saturday, 1st September, 1855.",1855-9-1,1,82,960,0.1,
2018-01-17 17:39:11.009190,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=569;num=523,A,OCR,"Monday, 3rd September, 1855.",1855-9-3,0,65,701,0,
2018-01-17 17:39:12.873102,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=570;num=524,A,OCR,"Tuesday, 4th September, 1855.",1855-9-4,4,96,1300,0.31,
2018-01-17 17:39:16.601192,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=572;num=526,A,OCR,"Wednesday, 5th September, 1855.",1855-9-5,0,72,698,0,
2018-01-17 17:39:20.649529,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=574;num=528,A,OCR,"Thursday, 6th September, 1855.",1855-9-6,5,363,3213,0.16,
2018-01-17 17:39:29.918451,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=578;num=532,A,OCR,"Fviday, 7th September, 1855.",1855-9-7,10,350,3239,0.31,
2018-01-17 17:39:41.701066,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=583;num=537,A,OCR,"Tuesday, llth September, 1855.",1855-9-10,10,629,6106,0.16,
2018-01-17 17:39:56.563785,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=590;num=544,A,OCR,"Wednesday, 12th September, 1855.",1855-9-12,5,380,4214,0.12,
2018-01-17 17:40:12.047601,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=595;num=549,A,OCR,"Thursday, 13th September, 1855.",1855-9-13,7,241,2738,0.26,
2018-01-17 17:40:21.009890,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=599;num=553,A,OCR,"Friday, 14th September, 1855.",1855-9-14,0,157,1921,0,
2018-01-17 17:43:37.552676,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740189;page=ssd;view=plaintext;seq=51;num=1,B,OCR,"Tuesday, 15th April, 1556.",1856-4-15,2,162,1743,0.11,
2018-01-17 17:43:42.397404,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740189;page=ssd;view=plaintext;seq=53;num=3,B,OCR,"Thursday, 17th April, 1856.",1856-4-17,5,409,3628,0.14,
2018-01-17 17:43:54.061871,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740189;page=ssd;view=plaintext;seq=58;num=8,B,OCR,"Friday, 18th April, 1SJ6.",1856-4-18,5,251,2303,0.22,
2018-01-17 17:44:02.360724,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740189;page=ssd;view=plaintext;seq=61;num=11,B,OCR,"Friday, 25th April, 1856.",1856-4-25,16,1272,11330,0.14,
2018-01-17 17:44:34.368349,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740189;page=ssd;view=plaintext;seq=73;num=23,B,OCR,"Monday, 28tU April, 1856.",1856-4-28,5,625,6691,0.07,
2018-01-17 17:44:56.743139,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740189;page=ssd;view=plaintext;seq=81;num=31,B,OCR,"Tuesday, 29th April, 1856.",1856-4-29,2,177,1972,0.1,
2018-01-17 17:45:03.588123,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740189;page=ssd;view=plaintext;seq=84;num=34,B,OCR,"Wednesday, 30th April, 1856.",1856-4-30,4,161,1764,0.23,
2018-01-17 17:45:08.206514,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740189;page=ssd;view=plaintext;seq=86;num=36,B,OCR,"Thursday, 1st May, 1856.",1856-5-1,2,156,1656,0.12,
2018-01-17 17:45:15.091362,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740189;page=ssd;view=plaintext;seq=89;num=39,B,OCR,"Friday, 2nd May, 1856.",1856-5-2,13,1339,12291,0.11,
2018-01-17 17:46:19.007241,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740189;page=ssd;view=plaintext;seq=102;num=52,B,OCR,"Saturday, 3rd May, 1856.",1856-5-3,22,1946,18034,0.12,
2018-01-17 17:47:35.252611,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740189;page=ssd;view=plaintext;seq=122;num=72,B,OCR,"Monday, 5th May, 1856.",1856-5-5,0,25,163,0,
2018-01-17 17:47:35.252611,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740189;page=ssd;view=plaintext;seq=122;num=72,B,OCR,"Tuesday, 6th May, 1856.",1856-5-6,2,123,1030,0.19,
2018-01-17 17:47:37.995309,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740189;page=ssd;view=plaintext;seq=123;num=73,B,OCR,"Wednesday, 7th May, 1856.",1856-5-7,0,150,918,0,
2018-01-17 17:47:43.796662,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740189;page=ssd;view=plaintext;seq=125;num=75,B,OCR,"Thursday, 8th May, 1856.",1856-5-8,4,224,1786,0.22,
2018-01-17 17:47:49.320245,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740189;page=ssd;view=plaintext;seq=127;num=77,B,OCR,"Friday, 9th May, 1856.",1856-5-9,1,149,1327,0.08,
2018-01-17 17:47:55.292135,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740189;page=ssd;view=plaintext;seq=129;num=79,B,OCR,"Monday, 12th May, 1856.",1856-5-12,0,17,176,0,
2018-01-17 17:47:55.292135,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740189;page=ssd;view=plaintext;seq=129;num=79,B,OCR,"Tuesday, 13th May, 1856.",1856-5-13,0,10,118,0,
2018-01-17 17:47:58.198493,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740189;page=ssd;view=plaintext;seq=130;num=80,B,OCR,"Wednesday, 14th May, 1856.",1856-5-14,5,238,2562,0.19,
2018-01-17 17:48:06.452767,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740189;page=ssd;view=plaintext;seq=133;num=83,B,OCR,"Thursday, 15th May, 1856.",1856-5-15,0,28,445,0,
2018-01-17 17:48:06.452767,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740189;page=ssd;view=plaintext;seq=133;num=83,B,OCR,"Friday, 16th May, 1856.",1856-5-16,0,50,516,0,
2018-01-17 17:48:08.883769,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740189;page=ssd;view=plaintext;seq=134;num=84,B,OCR,"Saturday, 17th May, 1856.",1856-5-17,2,335,2434,0.08,
2018-01-17 17:48:16.067053,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740189;page=ssd;view=plaintext;seq=137;num=87,B,OCR,"Tuesday, 20th May, 1856.",1856-5-20,3,109,990,0.3,
2018-01-17 17:48:18.611260,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740189;page=ssd;view=plaintext;seq=138;num=88,B,OCR,"Wednesday, 21st May, 1856.",1856-5-21,5,363,3706,0.13,
2018-01-17 17:48:31.124892,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740189;page=ssd;view=plaintext;seq=142;num=92,B,OCR,"Thursday, 22nd May, 1856.",1856-5-22,2,324,2886,0.07,
2018-01-17 17:48:57.756883,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740189;page=ssd;view=plaintext;seq=146;num=96,B,OCR,"Friday, 23rd May, 1856.",1856-5-23,8,148,1483,0.54,
2018-01-17 17:49:02.581451,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740189;page=ssd;view=plaintext;seq=148;num=98,B,OCR,"Monday, 26th Hay, 1856.",1856-5-26,0,76,969,0,
2018-01-17 17:49:13.495327,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740189;page=ssd;view=plaintext;seq=150;num=100,B,OCR,"Trtesday, 27th Hay, 1856.",1856-5-27,1,84,720,0.14,
2018-01-17 18:22:36.937365,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740197;page=ssd;view=plaintext;seq=43;num=1,C,OCR,"Friday, 9th July, 185S.",1858-7-9,5,184,2374,0.21,
2018-01-17 18:22:57.918296,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740197;page=ssd;view=plaintext;seq=46;num=4,C,OCR,"Monday, 12th July, 1858.",1858-7-12,2,109,1092,0.18,
2018-01-17 18:23:01.516462,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740197;page=ssd;view=plaintext;seq=48;num=6,C,OCR,"Monday, 13th July, 1858.",1858-7-13,20,1088,10395,0.19,
2018-01-17 18:23:59.526459,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740197;page=ssd;view=plaintext;seq=60;num=18,C,OCR,"Wednesday, 14th July, 1858.",1858-7-14,1,59,758,0.13,
2018-01-17 18:24:01.781748,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740197;page=ssd;view=plaintext;seq=61;num=19,C,OCR,"Thursday, 15th July, 1858.",1858-7-15,9,463,4285,0.21,
2018-01-17 18:24:16.205804,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740197;page=ssd;view=plaintext;seq=67;num=25,C,OCR,"Monday, 19th July, 1S58.",1858-7-19,15,336,3050,0.49,
2018-01-17 18:24:25.387038,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740197;page=ssd;view=plaintext;seq=71;num=29,C,OCR,"Tuesday, 20th July, 1858.",1858-7-20,1,144,1335,0.07,
2018-01-17 18:24:29.983853,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740197;page=ssd;view=plaintext;seq=73;num=31,C,OCR,"Wednesday, 21st July, 1858.",1858-7-21,7,858,8350,0.08,
2018-01-17 18:24:49.166105,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740197;page=ssd;view=plaintext;seq=82;num=40,C,OCR,"Friday, 23rd July, 1858.",1858-7-23,16,925,10312,0.15,
2018-01-17 18:25:11.383987,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740197;page=ssd;view=plaintext;seq=94;num=52,C,OCR,"Monday, 26th July, 1858.",1858-7-26,0,11,217,0,
2018-01-17 18:25:13.595501,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740197;page=ssd;view=plaintext;seq=95;num=53,C,OCR,"Tuesday, 27th July, 1858.",1858-7-27,5,585,6356,0.08,
2018-01-17 18:26:02.523899,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740197;page=ssd;view=plaintext;seq=103;num=61,C,OCR,"Thursday, 29th July, 1858.",1858-7-29,3,367,3704,0.08,
2018-01-17 18:26:09.858834,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740197;page=ssd;view=plaintext;seq=107;num=65,C,OCR,"Friday, 30th July, 1858.",1858-7-30,9,505,5315,0.17,
2018-01-17 18:26:23.239258,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740197;page=ssd;view=plaintext;seq=114;num=72,C,OCR,"Monday, 2nd August, 1S58.",1858-8-2,6,243,2797,0.21,
