Hansard volume,Rā,Num paragraphs,Te Reo length,Ambiguous length,Other length,is Māori (%)
Vol 483.txt,"WEDNESDAY, 16 SEPTEMBER 1987",36,7,227,3709,0.1883745963401507
Vol 483.txt,"THURSDAY, 17 SEPTEMBER 1987",100,47,148,3361,1.3791079812206573
Vol 483.txt,"TUESDAY, 22 SEPTEMBER 1987",113,41,495,8645,0.47202394658070457
Vol 483.txt,"WEDNESDAY, 23 SEPTEMBER 1987",591,201,2248,42538,0.4702964505486792
Vol 483.txt,"THURSDAY, 24 SEPTEMBER 1987",571,430,2518,44285,0.9616459800961646
Vol 483.txt,"TUESDAY, 29 SEPTEMBER 1987",642,207,2871,50259,0.4101771489715848
Vol 483.txt,"WEDNESDAY, 30 SEPTEMBER 1987",635,230,2516,46596,0.49118011361209585
Vol 483.txt,"THURSDAY, 1 OCTOBER 1987",605,273,2536,47401,0.5726391743927508
Vol 483.txt,"TUESDAY, 6 OCTOBER 1987",607,261,2599,46700,0.5557803283575733
Vol 483.txt,"WEDNESDAY, 7 OCTOBER 1987",618,237,2335,43809,0.5380738319030105
Vol 483.txt,"THURSDAY, 8 OCTOBER 1987",280,113,579,15198,0.7380314806348377
Vol 483.txt,"TUESDAY, 13 OCTOBER 1987",609,193,2459,45835,0.41930998522638396
Vol 483.txt,"WEDNESDAY, 14 OCTOBER 1987",629,217,2236,41418,0.5211961090428726
Vol 483.txt,"THURSDAY, 15 OCTOBER 1987",326,51,747,18530,0.2744739249771272
Vol 484.txt,"TUESDAY, 20 OCTOBER 1987",591,93,1880,38629,0.24017354475491967
Vol 484.txt,"THURSDAY, 22 OCTOBER 1987",259,56,569,13877,0.4019234909926075
Vol 484.txt,"TUESDAY, 10 NOVEMBER 1987",329,55,1053,21057,0.2605153467222433
Vol 484.txt,"WEDNESDAY, 11 NOVEMBER 1987",645,184,2306,44858,0.4085076151147818
Vol 484.txt,"THURSDAY, 12 NOVEMBER 1987",380,65,1110,22654,0.2861041419076544
Vol 484.txt,"TUESDAY, 17 NOVEMBER 1987",314,45,801,21094,0.21287667344718295
Vol 484.txt,"WEDNESDAY, 18 NOVEMBER 1987",411,95,1372,25721,0.36798884412767274
Vol 484.txt,"THURSDAY, 19 NOVEMBER 1987",399,99,1170,25573,0.38563415394203804
Vol 484.txt,"TUESDAY, 24 NOVEMBER 1987",355,83,967,22479,0.36787518836982536
Vol 484.txt,"WEDNESDAY, 25 NOVEMBER 1987",620,95,1966,39752,0.23841192561547922
Vol 484.txt,"THURSDAY, 26 NOVEMBER 1987",316,43,798,18425,0.2328351743556422
Vol 485.txt,"TUESDAY, 1 DECEMBER 1987",384,350,1182,23697,1.4554830124339835
Vol 485.txt,"WEDNESDAY, 2 DECEMBER 1987",607,109,2369,43484,0.2500401440598261
Vol 485.txt,"THURSDAY, 3 DECEMBER 1987",578,111,2009,39145,0.28275932341552884
Vol 485.txt,"TUESDAY, 8 DECEMBER 1987",3522,1210,11608,225711,0.5332252193494652
Vol 486.txt,"TUESDAY, 16 FEBRUARY 1988",563,52,2317,44252,0.11737089201877934
Vol 486.txt,"WEDNESDAY, 17 FEBRUARY 1988",585,108,2535,45882,0.23483365949119372
Vol 486.txt,"THURSDAY, 18 FEBRUARY 1988",335,27,965,19504,0.13824176949464953
Vol 486.txt,"TUESDAY, 23 FEBRUARY 1988",393,53,1345,26122,0.20248328557784145
Vol 486.txt,"WEDNESDAY, 24 FEBRUARY 1988",570,103,1947,39263,0.26164710664024793
Vol 486.txt,"THURSDAY, 25 FEBRUARY 1988",705,163,2425,46237,0.35129310344827586
Vol 486.txt,"TUESDAY, 1 MARCH 1988",475,61,1105,24313,0.25026667760728644
Vol 486.txt,"WEDNESDAY, 2 MARCH 1988",672,110,2341,46573,0.235631814579183
Vol 486.txt,"THURSDAY, 3 MARCH 1988",542,103,1910,42177,0.24361400189214757
Vol 487.txt,"TUESDAY, 15 MARCH 1988",590,63,1876,43219,0.1455570444988679
Vol 487.txt,"WEDNESDAY, 16 MARCH 1988",1517,199,5352,106509,0.18649023503392437
Vol 487.txt,"TUESDAY, 22 MARCH 1988",2754,407,5768,127775,0.31751728011733316
Vol 487.txt,"TUESDAY, 29 MARCH 1988",2345,421,6053,127892,0.3281039333504789
Vol 488.txt,"TUESDAY, 19 APRIL 1988",618,154,2202,44140,0.34767688625999005
Vol 488.txt,"WEDNESDAY, 20 APRIL 1988",627,120,2618,46695,0.25632809996795897
Vol 488.txt,"THURSDAY, 21 APRIL 1988",515,133,1665,35321,0.37513397642015006
Vol 488.txt,"TUESDAY, 26 APRIL 1988",365,86,1276,25315,0.3385693476634778
Vol 488.txt,"WEDNESDAY, 27 APRIL 1988",593,144,1906,40728,0.35231943628890194
Vol 488.txt,"THURSDAY, 28 APRIL 1988",620,102,1798,36772,0.2766176709876878
Vol 488.txt,"TUESDAY, 3 MAY 1988",537,31,1104,22538,0.13735655102131242
Vol 488.txt,"WEDNESDAY, 4 MAY 1988",674,141,2354,44812,0.31366093475407647
Vol 488.txt,"THURSDAY, 5 MAY 1988",736,310,2678,49350,0.6242448650825614
Vol 489.txt,"TUESDAY, 7 JUNE 1988",692,82,2576,46669,0.17539731770443412
Vol 489.txt,"WEDNESDAY, 8 JUNE 1988",641,152,2538,47031,0.32214992688044425
Vol 489.txt,"THURSDAY, 9 JUNE 1988",639,106,2174,44907,0.2354875258258725
Vol 489.txt,"TUESDAY, 14 JUNE 1988",652,187,2505,45408,0.4101326899879373
Vol 489.txt,"WEDNESDAY, 15 JUNE 1988",663,727,2592,43918,1.6284018367118378
Vol 489.txt,"THURSDAY, 16 JUNE 1988",394,71,1280,24029,0.2946058091286307
Vol 489.txt,"TUESDAY, 21 JUNE 1988",596,212,1630,32244,0.6531920138033029
Vol 489.txt,"WEDNESDAY, 22 JUNE 1988",575,101,1941,40306,0.24995669067240825
Vol 489.txt,"THURSDAY, 23 JUNE 1988",596,102,1529,30714,0.3309968847352025
Vol 489.txt,"TUESDAY, 28 JUNE 1988",1564,258,5184,99488,0.2586569887514286
Vol 489.txt,"THURSDAY, 30 JUNE 1988",329,79,945,20877,0.3769803397594961
Vol 490.txt,"TUESDAY, 12 JULY 1988",318,39,342,8295,0.4679625629949604
Vol 490.txt,"WEDNESDAY, 13 JULY 1988",682,162,2945,47221,0.341894772386721
Vol 490.txt,"THURSDAY, 14 JULY 1988",542,66,1693,35166,0.18732970027247955
Vol 490.txt,"TUESDAY, 19 JULY 1988",573,169,2260,41981,0.40094899169632264
Vol 490.txt,"WEDNESDAY, 20 JULY 1988",615,130,2223,41981,0.3087079385433735
Vol 490.txt,"THURSDAY, 21 JULY 1988",684,64,2462,45869,0.1393333768750136
Vol 490.txt,"TUESDAY, 26 JULY 1988",1381,627,4627,81830,0.7603963277829656
Vol 490.txt,"THURSDAY, 28 JULY 1988",1816,224,5446,98502,0.22689058606648704
Vol 491.txt,"TUESDAY, 9 AUGUST 1988",606,150,2443,42895,0.3484725287489836
Vol 491.txt,"WEDNESDAY, 10 AUGUST 1988",625,270,2479,44416,0.6042160855749004
Vol 491.txt,"THURSDAY, 11 AUGUST 1988",675,110,2598,47425,0.2314084358893447
Vol 491.txt,"TUESDAY, 16 AUGUST 1988",1811,461,7823,129506,0.35470542522332593
Vol 491.txt,"THURSDAY, 18 AUGUST 1988",741,149,2724,45450,0.3267615517884164
Vol 491.txt,"TUESDAY, 23 AUGUST 1988",428,71,1327,29548,0.2397109963199298
Vol 491.txt,"WEDNESDAY, 24 AUGUST 1988",679,94,2441,44261,0.21192650208544697
Vol 491.txt,"THURSDAY, 25 AUGUST 1988",374,54,1142,24539,0.21957467572073355
Vol 492.txt,"TUESDAY, 6 SEPTEMBER 1988",122,329,1133,11629,2.7512962033784913
Vol 492.txt,"WEDNESDAY, 7 SEPTEMBER 1988",366,73,1322,25972,0.2802841236321751
Vol 492.txt,"THURSDAY, 8 SEPTEMBER 1988",283,67,652,16708,0.39940387481371087
Vol 492.txt,"TUESDAY, 13 SEPTEMBER 1988",415,91,1305,24849,0.3648757016840417
Vol 492.txt,"WEDNESDAY, 14 SEPTEMBER 1988",608,205,2549,46152,0.44222016092499516
Vol 492.txt,"THURSDAY, 15 SEPTEMBER 1988",392,97,1150,23665,0.4082147967342816
Vol 492.txt,"TUESDAY, 20 SEPTEMBER 1988",362,56,1162,24381,0.22916069894013177
Vol 492.txt,"WEDNESDAY, 21 SEPTEMBER 1988",874,163,2682,53995,0.30097123232024814
Vol 492.txt,"THURSDAY, 22 SEPTEMBER 1988",411,141,1142,26446,0.5303343739421522
Vol 492.txt,"TUESDAY, 4 OCTOBER 1988",412,78,1225,27717,0.28062601187263897
Vol 492.txt,"WEDNESDAY, 5 OCTOBER 1988",643,251,2416,46648,0.5351926480308749
Vol 492.txt,"THURSDAY, 6 OCTOBER 1988",406,66,1101,24733,0.2661397637001492
Vol 493.txt,"TUESDAY, 11 OCTOBER 1988",591,154,2211,42880,0.3578565785193103
Vol 493.txt,"WEDNESDAY, 12 OCTOBER 1988",376,90,1148,23845,0.3760183831209526
Vol 493.txt,"THURSDAY, 13 OCTOBER 1988",394,140,1147,24826,0.5607626371865737
Vol 493.txt,"TUESDAY, 18 OCTOBER 1988",759,632,2926,52322,1.1934886882955018
Vol 493.txt,"WEDNESDAY, 19 OCTOBER 1988",619,194,2393,46724,0.41348736092757576
Vol 493.txt,"THURSDAY, 20 OCTOBER 1988",333,101,906,18419,0.5453563714902808
Vol 493.txt,"TUESDAY, 8 NOVEMBER 1988",552,71,1992,38293,0.18506933583567928
Vol 493.txt,"WEDNESDAY, 9 NOVEMBER 1988",690,205,2348,45439,0.44912803435281745
Vol 493.txt,"THURSDAY, 10 NOVEMBER 1988",619,181,2377,45316,0.39782842824801634
Vol 494.txt,"TUESDAY, 15 NOVEMBER 1988",613,179,2375,45422,0.392535251419925
Vol 494.txt,"WEDNESDAY, 16 NOVEMBER 1988",650,258,2914,46475,0.5520724113581409
Vol 494.txt,"THURSDAY, 17 NOVEMBER 1988",677,97,2368,45897,0.21089707353133016
Vol 494.txt,"TUESDAY, 22 NOVEMBER 1988",519,116,1737,36788,0.3143290700195101
Vol 494.txt,"WEDNESDAY, 23 NOVEMBER 1988",509,84,1743,32764,0.25572333170969314
Vol 494.txt,"THURSDAY, 24 NOVEMBER 1988",643,92,2368,45039,0.203851011499856
Vol 495.txt,"TUESDAY, 6 DECEMBER 1988",1481,731,5176,102734,0.7065191127434398
Vol 495.txt,"THURSDAY, 8 DECEMER 1988",2026,224,5779,112453,0.19879833506394384
Vol 495.txt,"TUESDAY, 13 DECEMBER 1988",2316,805,7496,143754,0.5568660546904725
Vol 496.txt,"TUESDAY, 21 FEBRUARY 1989",353,31,1177,22512,0.13751497138801402
Vol 496.txt,"WEDNESDAY, 22 FEBRUARY 1989",647,121,2592,47297,0.25517735880889114
Vol 496.txt,"THURSDAY, 23 FEBRUARY 1989",674,100,2406,45139,0.22104821061473506
Vol 496.txt,"TUESDAY, 28 FEBRUARY 1989",435,30,972,21304,0.1406206056060748
Vol 496.txt,"WEDNESDAY, 1 MARCH 1989",434,57,1367,25829,0.22019624507455768
Vol 496.txt,"THURSDAY, 2 MARCH 1989",650,77,2299,44473,0.1728395061728395
Vol 496.txt,"TUESDAY, 7 MARCH 1989",1171,308,3761,72584,0.4225429402403556
Vol 496.txt,"THURSDAY, 9 MARCH 1989",596,88,1879,37812,0.23218997361477572
Vol 496.txt,"TUESDAY, 14 MARCH 1989",1204,124,4177,82454,0.1501610598464482
Vol 496.txt,"THURSDAY, 16 MARCH 1989",492,143,1851,31926,0.44591349901774296
Vol 496.txt,"TUESDAY, 21 MARCH 1989",1461,203,5355,100692,0.20119926656424997
Vol 497.txt,"TUESDAY, 11 APRIL 1989",575,146,2091,37839,0.3843622482558905
Vol 497.txt,"WEDNESDAY, 12 APRIL 1989",564,141,2175,38022,0.369467809134502
Vol 497.txt,"THURSDAY, 13 APRIL 1989",741,859,2679,45044,1.8713373853560769
Vol 497.txt,"THURSDAY, 20 APRIL 1989",557,174,1558,31575,0.5480487574411792
Vol 497.txt,"WEDNESDAY, 26 APRIL 1989",669,92,2227,46411,0.19783669870761025
Vol 497.txt,"THURSDAY, 27 APRIL 1989",522,116,1717,33978,0.34023581861911184
Vol 497.txt,"TUESDAY, 2 MAY 1989",646,165,2521,46902,0.3505640894894512
Vol 497.txt,"WEDNESDAY, 3 MAY 1989",605,95,2525,45042,0.21047034583601038
Vol 497.txt,"THURSDAY, 4 MAY 1989",570,88,1920,37089,0.23670548995346585
Vol 498.txt,"TUESDAY, 16 MAY 1989",887,138,2341,49702,0.2768860353130016
Vol 498.txt,"WEDNESDAY, 17 MAY 1989",677,167,2518,47055,0.35364872305281436
Vol 498.txt,"THURSDAY, 18 MAY 1989",741,193,2670,48449,0.39677644833682824
Vol 498.txt,"TUESDAY, 23 MAY 1989",2752,519,8692,168559,0.30695891836903677
Vol 498.txt,"TUESDAY, 30 MAY 1989",1371,176,6274,95854,0.18327605956471935
Vol 498.txt,"THURSDAY, 1 JUNE 1989",333,60,747,15291,0.3908540160250147
Vol 499.txt,"TUESDAY, 11 JULY 1989",1349,217,5274,103803,0.20861372812920592
Vol 499.txt,"THURSDAY, 13 JULY 1989",520,66,1856,32798,0.20082765335929892
Vol 499.txt,"TUESDAY, 18 JULY 1989",535,59,1809,36229,0.16258818342151676
Vol 499.txt,"WEDNESDAY, 19 JULY 1989",570,130,1653,33420,0.38748137108792846
Vol 499.txt,"THURSDAY, 20 JULY 1989",423,46,525,12380,0.37019153388057296
Vol 499.txt,"TUESDAY, 25 JULY 1989",474,66,829,18751,0.3507466652495084
Vol 499.txt,"WEDNESDAY, 26 JULY 1989",704,211,2797,46379,0.45288688559776774
Vol 499.txt,"THURSDAY, 27 JULY 1989",2068,266,6191,124105,0.21387622516503044
Vol 500.txt,"TUESDAY, 8 AUGUST 1989",585,86,2274,39122,0.21934299122628034
Vol 500.txt,"WEDNESDAY, 9 AUGUST 1989",674,153,2635,46614,0.3271537622682661
Vol 500.txt,"THURSDAY, 10 AUGUST 1989",636,181,2444,46044,0.39156300703082747
Vol 500.txt,"TUESDAY, 15 AUGUST 1989",647,117,2643,45487,0.25655644241733183
Vol 500.txt,"WEDNESDAY, 16 AUGUST 1989",617,167,2467,42211,0.39407239605455663
Vol 500.txt,"THURSDAY, 17 AUGUST 1989",704,142,2574,45395,0.3118343325208073
Vol 500.txt,"TUESDAY, 22 AUGUST 1989",741,119,2900,47193,0.25152181264795404
Vol 500.txt,"WEDNESDAY, 23 AUGUST 1989",656,147,2499,43189,0.3392098947757061
Vol 500.txt,"THURSDAY, 24 AUGUST 1989",637,325,2252,39957,0.8068119755722158
Vol 501.txt,"TUESDAY, 5 SEPTEMBER 1989",661,142,1527,32377,0.43666779421261415
Vol 501.txt,"WEDNESDAY, 6 SEPTEMBER 1989",682,346,2587,48514,0.7081457224723701
Vol 501.txt,"THURSDAY, 7 SEPTEMBER 1989",750,406,2470,48495,0.8302488701662543
Vol 501.txt,"TUESDAY, 12 SEPTEMBER 1989",968,219,3131,60374,0.36142788770980144
Vol 501.txt,"WEDNESDAY, 13 SEPTEMBER 1989",467,81,1415,27701,0.2915556835361025
Vol 501.txt,"THURSDAY, 14 SEPTEMBER 1989",651,93,1990,36820,0.25194375965107146
Vol 501.txt,"TUESDAY, 19 SEPTEMBER 1989",808,246,2466,50909,0.4808914084644707
Vol 501.txt,"WEDNESDAY, 20 SEPTEMBER 1989",691,125,2379,43832,0.2843688149782742
Vol 501.txt,"THURSDAY, 21 SEPTEMBER 1989",723,85,1909,39925,0.2124468882779305
Vol 502.txt,"TUESDAY, 3 OCTOBER 1989",677,113,2179,45501,0.247730959793046
Vol 502.txt,"WEDNESDAY, 4 OCTOBER 1989",393,70,1145,21521,0.3242091612245843
Vol 502.txt,"THURSDAY, 5 OCTOBER 1989",645,137,2043,42315,0.32271742202958636
Vol 502.txt,"TUESDAY, 10 OCTOBER 1989",562,65,1530,30375,0.21353482260183967
Vol 502.txt,"WEDNESDAY, 11 OCTOBER 1989",626,111,2191,43067,0.25707536245310114
Vol 502.txt,"THURSDAY, 12 OCTOBER 1989",710,133,2466,45954,0.2885846334107232
Vol 502.txt,"TUESDAY, 17 OCTOBER 1989",621,105,1947,38538,0.27171803431410607
Vol 502.txt,"WEDNESDAY, 18 OCTOBER 1989",485,149,1103,22938,0.6453848486161043
Vol 502.txt,"THURSDAY, 19 OCTOBER 1989",540,106,1637,32558,0.32451628704384033
Vol 502.txt,"TUESDAY, 7 NOVEMBER 1989",674,116,2225,42196,0.27415390432974096
Vol 502.txt,"WEDNESDAY, 8 NOVEMBER 1989",587,100,1839,35782,0.27869126581572934
Vol 502.txt,"THURSDAY, 9 NOVEMBER 1989",378,65,1078,21433,0.3023537073216113
Vol 502.txt,"TUESDAY, 14 NOVEMBER 1989",287,54,712,17268,0.31174229303775547
Vol 502.txt,"WEDNESDAY, 15 NOVEMBER 1989",617,176,2149,42497,0.4124387786187988
Vol 502.txt,"THURSDAY, 16 NOVEMBER 1989",289,76,638,15772,0.4795557799091368
Vol 503.txt,"TUESDAY, 21 NOVEMBER 1989",380,53,1083,22945,0.23045482215844856
Vol 503.txt,"WEDNESDAY, 22 NOVEMBER 1989",648,164,2201,39768,0.41069818691776017
Vol 503.txt,"THURSDAY, 23 NOVEMBER 1989",435,127,1458,27068,0.4669976098547527
Vol 503.txt,"TUESDAY, 28 NOVEMBER 1989",571,146,1864,38187,0.38087287715545354
Vol 503.txt,"WEDNESDAY, 29 NOVEMBER 1989",571,67,1943,38737,0.17266261210184516
Vol 503.txt,"THURSDAY, 30 NOVEMBER 1989",703,112,2669,45468,0.24572180781044317
Vol 503.txt,"TUESDAY, 5 DECEMBER 1989",3614,1107,12994,249745,0.44129606301723723
Vol 503.txt,"TUESDAY, 5 DECEMBER 1989",880,85,3109,59523,0.14259830895181855
Vol 504.txt,"TUESDAY, 12 DECEMBER 1989",774,378,2358,49502,0.7578187650360866
Vol 504.txt,"TUESDAY, 12 DECEMBER 1989",1083,444,4028,75949,0.5812050842354666
Vol 504.txt,"TUESDAY, 12 DECEMBER 1989",677,165,2154,43502,0.37785971099457255
Vol 504.txt,"TUESDAY, 12 DECEMBER 1989",851,216,2927,57135,0.3766281320290841
Vol 504.txt,"TUESDAY, 12 DECEMBER 1989",843,184,3053,60353,0.30394634686224953
Vol 505.txt,"WEDNESDAY, 14 FEBRUARY 1990",79,26,167,3874,0.6666666666666666
Vol 505.txt,"TUESDAY, 20 FEBRUARY 1990",114,94,450,8568,1.0851997229277304
Vol 505.txt,"WEDNESDAY, 21 FEBRUARY 1990",612,155,2536,42807,0.3607839486057446
Vol 505.txt,"THURSDAY, 22 FEBRUARY 1990",602,195,2629,46184,0.4204489100670562
Vol 505.txt,"TUESDAY, 27 FEBRUARY 1990",617,435,2540,47384,0.9096802526192518
Vol 505.txt,"WEDNESDAY, 28 FEBRUARY 1990",657,270,2418,42253,0.6349504973778897
Vol 505.txt,"THURSDAY, 1 MARCH 1990",664,166,2624,47584,0.34764397905759165
Vol 505.txt,"TUESDAY, 6 MARCH 1990",674,112,2446,44543,0.2508117791960587
Vol 505.txt,"WEDNESDAY, 7 MARCH 1990",526,71,1402,28393,0.24943788645306353
Vol 505.txt,"THURSDAY, 8 MARCH 1990",1496,327,6086,108162,0.3014130464839753
Vol 505.txt,"TUESDAY, 13 MARCH 1990",359,57,942,22499,0.25270438020925695
Vol 505.txt,"WEDNESDAY, 14 MARCH 1990",574,151,2162,38502,0.39065531782785295
Vol 505.txt,"THURSDAY, 15 MARCH 1990",288,75,674,16628,0.4490211339280369
Vol 506.txt,"TUESDAY, 20 MARCH 1990",2573,373,8340,161871,0.2299006434752595
Vol 506.txt,"TUESDAY, 27 MARCH 1990",397,32,859,19453,0.16422889402104182
Vol 506.txt,"WEDNESDAY, 28 MARCH 1990",384,69,1138,24638,0.279273080503501
Vol 506.txt,"THURSDAY, 29 MARCH 1990",1982,225,6044,125078,0.17956473508216084
Vol 506.txt,"TUESDAY, 3 APRIL 1990",481,112,1771,31948,0.34934497816593885
Vol 506.txt,"WEDNESDAY, 4 APRIL 1990",716,157,2649,45585,0.3432294171658432
Vol 506.txt,"THURSDAY, 5 APRIL 1990",384,73,1028,19289,0.3770271666150191
Vol 506.txt,"TUESDAY, 10 APRIL 1990",605,122,2021,38472,0.31611131263927034
Vol 506.txt,"WEDNESDAY, 11 APRIL 1990",722,121,2367,46462,0.259751411459116
Vol 507.txt,"TUESDAY, 15 MAY 1990",344,97,1066,22212,0.4348020978080595
Vol 507.txt,"WEDNESDAY, 16 MAY 1990",733,125,2542,45462,0.27420097834909074
Vol 507.txt,"THURSDAY, 17 MAY 1990",439,59,1400,27342,0.21532060873690742
Vol 507.txt,"TUESDAY, 22 MAY 1990",393,196,954,24226,0.8025550732945704
Vol 507.txt,"WEDNESDAY, 23 MAY 1990",443,65,1285,24967,0.2596676254394375
Vol 507.txt,"THURSDAY, 24 MAY 1990",471,77,1253,27367,0.2805713452849439
Vol 507.txt,"TUESDAY, 29 MAY 1990",380,83,1053,27835,0.29729923346944626
Vol 507.txt,"WEDNESDAY, 30 MAY 1990",655,133,2711,46658,0.28424269624500437
Vol 507.txt,"THURSDAY, 31 MAY 1990",334,62,759,20359,0.3036090299201802
Vol 507.txt,"TUESDAY, 12 JUNE 1990",583,84,1784,38557,0.21738567842447143
Vol 507.txt,"WEDNESDAY, 13 JUNE 1990",560,67,1568,34090,0.19615305793834353
Vol 507.txt,"THURSDAY, 14 JUNE 1990",481,80,1460,30843,0.2587071112117194
Vol 508.txt,"TUESDAY, 19 JUNE 1990",599,150,1799,35505,0.4206983592763988
Vol 508.txt,"WEDNESDAY, 20 JUNE 1990",614,175,2552,44007,0.3960889049839301
Vol 508.txt,"THURSDAY, 21 JUNE 1990",1255,132,4220,81806,0.1610974151187483
Vol 508.txt,"TUESDAY, 26 JUNE 1990",1524,310,4921,99922,0.30928246468193793
Vol 508.txt,"THURSDAY, 28 JUNE 1990",658,142,2230,42684,0.3315742773081773
Vol 508.txt,"THURSDAY, 28 JUNE 1990",841,112,2988,56029,0.19949769330792114
Vol 508.txt,"THURSDAY, 28 JUNE 1990",503,126,1622,32769,0.38303693570451436
Vol 509.txt,"TUESDAY, 10 JULY 1990",241,31,265,7591,0.40671739700865917
Vol 509.txt,"WEDNESDAY, 11 JULY 1990",410,58,1134,21518,0.26881720430107525
Vol 509.txt,"THURSDAY, 12 JULY 1990",510,123,1364,26706,0.45845913004584593
Vol 509.txt,"TUESDAY, 17 JULY 1990",540,63,1540,32489,0.19353649545342835
Vol 509.txt,"WEDNESDAY, 18 JULY 1990",652,143,2166,42494,0.33538945047728497
Vol 509.txt,"THURSDAY, 19 JULY 1990",597,64,1978,36933,0.17298699894586048
Vol 509.txt,"TUESDAY, 24 JULY 1990",848,124,2852,55756,0.22190408017179672
Vol 509.txt,"TUESDAY, 24 JULY 1990",230,24,829,17688,0.13550135501355012
Vol 509.txt,"TUESDAY, 24 JULY 1990",795,98,2963,57810,0.1692339573115977
Vol 509.txt,"TUESDAY, 24 JULY 1990",457,47,1184,24016,0.19532061671445788
Vol 509.txt,"TUESDAY, 7 AUGUST 1990",735,111,2412,45824,0.24164580385327092
Vol 509.txt,"WEDNESDAY, 8 AUGUST 1990",681,194,2708,47019,0.41090377650223453
Vol 509.txt,"THURSDAY, 9 AUGUST 1990",722,223,2528,45638,0.486251935195482
Vol 510.txt,"TUESDAY, 14 AUGUST 1990",717,160,2254,45251,0.35233753936270945
Vol 510.txt,"WEDNESDAY, 15 AUGUST 1990",673,143,2300,40842,0.3489081371233378
Vol 510.txt,"THURSDAY, 16 AUGUST 1990",681,98,1973,38650,0.25291627954991225
Vol 510.txt,"TUESDAY, 21 AUGUST 1990",627,143,1840,34898,0.4080933763305842
Vol 510.txt,"TUESDAY, 21 AUGUST 1990",758,70,2731,48029,0.14553317116779974
Vol 510.txt,"TUESDAY, 21 AUGUST 1990",711,141,2287,45690,0.3076520259213196
Vol 510.txt,"TUESDAY, 21 AUGUST 1990",518,129,1595,30283,0.4241746678942523
Vol 510.txt,"TUESDAY, 28 AUGUST 1990",792,656,2767,54348,1.1926405352338012
Vol 510.txt,"TUESDAY, 28 AUGUST 1990",528,153,1414,28935,0.525990099009901
Vol 510.txt,"TUESDAY, 28 AUGUST 1990",401,67,762,19580,0.3410189850867817
Vol 510.txt,"TUESDAY, 28 AUGUST 1990",777,371,2320,44547,0.8259495079923416
Vol 510.txt,"TUESDAY, 28 AUGUST 1990",201,39,827,16398,0.23726957473991606
Vol 510.txt,"TUESDAY, 4 SEPTEMBER 1990",862,458,3096,55619,0.8167341334236853
Vol 510.txt,"TUESDAY, 4 SEPTEMBER 1990",1017,143,3987,77096,0.18513963153329277
Vol 510.txt,"THURSDAY, 6 SEPTEMBER 1990",813,136,4242,55497,0.2444592238419643
Vol 511.txt,"WEDNESDAY, 28 NOVEMBER 1990",26,9,122,2319,0.3865979381443299
Vol 511.txt,"THURSDAY, 29 NOVEMBER 1990",91,24,301,6057,0.3946719289590528
Vol 511.txt,"TUESDAY, 4 DECEMBER 1990",71,15,374,6594,0.22696323195642307
Vol 511.txt,"WEDNESDAY, 5 DECEMBER 1990",638,79,2410,44325,0.17791189982884426
Vol 511.txt,"THURSDAY, 6 DECEMBER 1990",653,168,2752,45447,0.3682999013482407
Vol 511.txt,"TUESDAY, 11 DECEMBER 1990",684,422,2672,50952,0.8214271810643516
Vol 511.txt,"WEDNESDAY, 12 DECEMBER 1990",673,86,2606,45376,0.18916897628788878
Vol 511.txt,"THURSDAY, 13 DECEMBER 1990",661,215,2355,43363,0.493368213318647
Vol 511.txt,"TUESDAY, 18 DECEMBER 1990",652,167,2360,45927,0.3623031197118931
Vol 511.txt,"WEDNESDAY, 19 DECEMBER 1990",852,32,2807,54394,0.05879542865542204
Vol 511.txt,"WEDNESDAY, 19 DECEMBER 1990",809,81,2571,49839,0.1622596153846154
Vol 511.txt,"WEDNESDAY, 19 DECEMBER 1990",311,426,1364,23075,1.8126888217522659
Vol 512.txt,"TUESDAY, 22 JANUARY 1991",420,30,2216,40192,0.07458604743672617
Vol 512.txt,"TUESDAY, 19 FEBRUARY 1991",624,84,2614,43049,0.19474648181206963
Vol 512.txt,"WEDNESDAY, 20 FEBRUARY 1991",602,92,2137,37965,0.24174264918411856
Vol 512.txt,"THURSDAY, 21 FEBRUARY 1991",668,322,2575,45164,0.7079101261926747
Vol 512.txt,"TUESDAY, 26 FEBRUARY 1991",790,101,3037,51785,0.19465751840573564
Vol 512.txt,"TUESDAY, 26 FEBRUARY 1991",1040,142,2163,48455,0.2921991069407577
Vol 512.txt,"TUESDAY, 5 MARCH 1991",693,168,2746,47226,0.3544752500316496
Vol 512.txt,"WEDNESDAY, 6 MARCH 1991",867,387,3864,59409,0.6472004816375677
Vol 512.txt,"WEDNESDAY, 6 MARCH 1991",867,348,4360,65625,0.5274885180301032
Vol 513.txt,"TUESDAY, 12 MARCH 1991",704,78,2678,47303,0.16462295012768832
Vol 513.txt,"WEDNESDAY, 13 MARCH 1991",710,103,2756,48356,0.21255081615386204
Vol 513.txt,"THURSDAY, 14 MARCH 1991",666,78,2341,42673,0.1824518724708194
Vol 513.txt,"TUESDAY, 19 MARCH 1991",275,58,633,16137,0.3581352269218895
Vol 513.txt,"WEDNESDAY, 20 MARCH 1991",681,195,2875,46570,0.4169785095691222
Vol 513.txt,"THURSDAY, 21 MARCH 1991",377,34,1030,22034,0.15406924052927315
Vol 513.txt,"TUESDAY, 26 MARCH 1991",588,50,1776,35652,0.14004817657274102
Vol 513.txt,"WEDNESDAY, 27 MARCH 1991",730,69,2437,44714,0.15407632360493936
